�ледствие рахита;E64.3;70100
10070469;Спленомегалия идиопатическая;R16.1;70540
10070470;Спленомегалия малярийная;B54;70541
10070471;Спленомегалия нейтропеническая;D70;70542
10070472;Спленомегалия Ниманна-Пика;E75.2;70543
10070473;Спленомегалия с гепатомегалией;R16.2;70544
10070474;Спленомегалия сифилитическая;A52.7;70545
10070475;Спленомегалия сифилитическая врожденная;A50.0;70546
10070476;Спленомегалия сифилитическая ранняя;A50.0;70547
10070477;Спленопатия;D73.9;70548
10070478;Спленоптоз;D73.8;70549
10070479;Спленоцеле;D73.8;70550
10070480;Спонгиобластома многоформная неуточненной локализации;C71.9;70551
10070481;Спонгиобластома неуточненной локализации;C71.9;70552
10070482;Спонгиобластома полярная неуточненной локализации;C71.9;70553
10070483;Спонгиобластома примитивная полярная неуточненной локализации;C71.9;70554
10070484;Спондилез;M47.9;70555
10070485;Спондилез копчика;M47.8;70556
10070486;Спондилез крестцово-копчиковый;M47.8;70557
10070487;Спондилез крестцовый;M47.8;70558
10070488;Спондилез поясничный;M47.8;70559
10070489;Спондилез с диспропорцией;O33.0;70560
10070490;Спондилез с диспропорцией, влияние на новорожденного;P03.1;70561
10070491;Спондилез с диспропорцией, влияние на плод;P03.1;70562
10070492;Спондилез с диспропорцией, вызывающий затрудненные роды;O65.0;70563
10070493;Спондилез с миелопатией;M47.1;70564
10070494;Спондилез с несоответствием размеров плода и таза;O33.0;70565
10070495;Спондилез с радикулопатией;M47.2;70566
10070496;Спондилез со сдавлением нервного корешка;M47.2;70567
10070497;Спондилез со сдавлением нервного сплетения;M47.2;70568
10070498;Спондилез травматический;M48.3;70569
10070499;Спондилез уточненный;M47.8;70570
10070500;Спондилез шейный;M47.8;70571
10070501;Спондилит;M46.9;70572
10070506;Спондилит анкилозирующий грудного отдела;M45.4;70573
10070516;Спондилит анкилозирующий грудного отдела с вовлечением легкого;M45.4;70574
10070510;Спондилит анкилозирующий крестцового и крестцово-копчикового отдела;M45.8;70575
10070520;Спондилит анкилозирующий крестцового и крестцово-копчикового отдела с вовлечением легкого;M45.8;70576
10070502;Спондилит анкилозирующий множественных отделов позвоночника;M45.0;70577
10070512;Спондилит анкилозирующий множественных отделов позвоночника с вовлечением легкого;M45.0;70578
10070511;Спондилит анкилозирующий неуточненной локализации;M45.9;70579
10070521;Спондилит анкилозирующий неуточненной локализации с вовлечением легкого;M45.9;70580
10070503;Спондилит анкилозирующий области затылка, первого и второго шейных позвонков;M45.1;70581
10070513;Спондилит анкилозирующий области затылка, первого и второго шейных позвонков с вовлечением легкого;M45.1;70582
10070504;Спондилит анкилозирующий области шеи;M45.2;70583
10070514;Спондилит анкилозирующий области шеи с вовлечением легкого;M45.2;70584
10070508;Спондилит анкилозирующий поясничного отдела;M45.6;70585
10070518;Спондилит анкилозирующий поясничного отдела с вовлечением легкого;M45.6;70586
10070507;Спондилит анкилозирующий пояснично-грудного отдела;M45.5;70587
10070517;Спондилит анкилозирующий пояснично-грудного отдела с вовлечением легкого;M45.5;70588
10070509;Спондилит анкилозирующий пояснично-крестцового отдела;M45.7;70589
10070519;Спондилит анкилозирующий пояснично-крестцового отдела с вовлечением легкого;M45.7;70590
10070526;Спондилит анкилозирующий хронический грудного отдела;M45.4;70591
10070530;Спондилит анкилозирующий хронический крестцового и крестцово-копчикового отдела;M45.8;70592
10070522;Спондилит анкилозирующий хронический множественных отделов позвоночника;M45.0;70593
10070531;Спондилит анкилозирующий хронический неуточненной локализации;M45.9;70594
10070523;Спондилит анкилозирующий хронический области затылка, первого и второго шейных позвонков;M45.1;70595
10070524;Спондилит анкилозирующий хронический области шеи;M45.2;70596
10070528;Спондилит анкилозирующий хронический поясничного отдела;M45.6;70597
10070527;Спондилит анкилозирующий хронический пояснично-грудного отдела;M45.5;70598
10070529;Спондилит анкилозирующий хронический пояснично-крестцового отдела;M45.7;70599
10070525;Спондилит анкилозирующий хронический шейно-грудного отдела;M45.3;70600
10070505;Спондилит анкилозирующий шейно-грудного отдела;M45.3;70601
10070515;Спондилит анкилозирующий шейно-грудного отдела с вовлечением легкого;M45.3;70602
10070536;Спондилит атрофический грудного отдела;M45.4;70603
10070540;Спондилит атрофический крестцового и крестцово-копчикового отдела;M45.8;70604
10070532;Спондилит атрофический множественных отделов позвоночника;M45.0;70605
10070541;Спондилит атрофический неуточненной локализации;M45.9;70606
10070533;Спондилит атрофический области затылка, первого и второго шейных позвонков;M45.1;70607
10070534;Спондилит атрофический области шеи;M45.2;70608
10070538;Спондилит атрофический поясничного отдела;M45.6;70609
